+33;+90;0;-33;-90;180;stop;forward;backward;left;right
0.354;0.103;0.307;0.168;0.239;0.148;1;0;0;0;0
0.349;0.126;0.307;0.172;0.219;0.148;1;0;0;0;0
0.349;0.126;0.307;0.172;0.219;0.148;1;0;0;0;0
0.349;0.126;0.307;0.172;0.219;0.144;1;0;0;0;0
0.348;0.128;0.316;0.172;0.215;0.143;0;1;0;0;0
0.348;0.128;0.316;0.172;0.215;0.143;0;1;0;0;0
0.348;0.128;0.316;0.172;0.215;0.143;0;1;0;0;0
0.348;0.128;0.317;0.172;0.215;0.144;0;1;0;0;0
0.346;0.124;0.317;0.171;0.215;0.144;0;1;0;0;0
0.346;0.124;0.317;0.171;0.215;0.144;0;1;0;0;0
0.346;0.124;0.317;0.171;0.215;0.144;0;1;0;0;0
0.346;0.124;0.296;0.171;0.197;0.165;1;0;0;0;0
0.325;0.083;0.296;0.153;0.197;0.165;1;0;0;0;0
0.325;0.083;0.296;0.153;0.197;0.165;1;0;0;0;0
0.303;0.105;0.272;0.137;0.177;0.194;1;0;0;0;0
0.303;0.105;0.272;0.137;0.177;0.194;1;0;0;0;0
0.305;0.110;0.268;0.136;0.176;0.200;0;0;0;1;0
0.305;0.110;0.262;0.136;0.175;0.201;0;0;0;1;0
0.302;0.105;0.262;0.138;0.175;0.201;0;0;0;1;0
0.302;0.105;0.262;0.138;0.175;0.201;0;0;0;1;0
0.302;0.105;0.262;0.138;0.175;0.201;0;0;0;1;0
0.302;0.105;0.294;0.138;0.175;0.187;0;0;0;1;0
0.302;0.080;0.294;0.148;0.162;0.187;0;0;0;1;0
0.302;0.080;0.294;0.148;0.162;0.187;0;0;0;1;0
0.302;0.080;0.294;0.148;0.162;0.187;0;0;0;1;0
0.302;0.080;0.335;0.148;0.162;0.170;0;0;0;1;0
0.302;0.080;0.335;0.148;0.146;0.170;0;0;0;1;0
0.300;0.089;0.335;0.162;0.146;0.170;0;0;0;1;0
0.300;0.089;0.335;0.162;0.146;0.170;0;0;0;1;0
0.300;0.089;0.334;0.162;0.134;0.165;0;0;0;1;0
0.300;0.111;0.334;0.172;0.134;0.165;0;0;0;1;0
0.300;0.111;0.334;0.172;0.134;0.165;0;0;0;1;0
0.300;0.111;0.321;0.172;0.134;0.163;0;0;0;1;0
0.300;0.111;0.321;0.172;0.123;0.163;0;0;0;1;0
0.302;0.157;0.321;0.190;0.123;0.163;0;0;0;1;0
0.302;0.157;0.321;0.190;0.123;0.163;0;0;0;1;0
0.302;0.157;0.321;0.190;0.123;0.163;0;0;0;1;0
0.302;0.157;0.308;0.190;0.123;0.161;0;0;0;1;0
0.302;0.157;0.308;0.190;0.113;0.161;0;0;0;1;0
0.307;0.233;0.308;0.209;0.113;0.161;0;0;0;1;0
0.307;0.233;0.296;0.209;0.113;0.161;0;0;0;1;0
0.312;0.367;0.296;0.240;0.105;0.162;0;0;0;1;0
0.312;0.367;0.296;0.240;0.105;0.162;0;0;0;1;0
0.312;0.367;0.296;0.240;0.105;0.162;0;0;0;1;0
0.312;0.367;0.287;0.240;0.105;0.165;1;0;0;0;0
0.312;0.367;0.287;0.240;0.097;0.165;1;0;0;0;0
0.324;0.533;0.286;0.285;0.097;0.171;1;0;0;0;0
0.331;0.577;0.286;0.299;0.096;0.171;1;0;0;0;0
0.329;0.576;0.285;0.300;0.095;0.170;0;1;0;0;0
0.329;0.576;0.285;0.300;0.095;0.170;0;1;0;0;0
0.329;0.576;0.288;0.300;0.095;0.170;0;1;0;0;0
0.327;0.561;0.288;0.298;0.095;0.171;0;1;0;0;0
0.327;0.561;0.288;0.298;0.095;0.171;0;1;0;0;0
0.327;0.561;0.274;0.298;0.095;0.171;0;1;0;0;0
0.327;0.561;0.274;0.298;0.095;0.171;0;1;0;0;0
0.300;2.000;0.274;0.286;0.097;0.192;0;1;0;0;0
0.300;2.000;0.274;0.286;0.097;0.192;0;1;0;0;0
0.300;2.000;0.243;0.286;0.097;0.192;0;1;0;0;0
0.263;0.197;0.243;0.266;0.097;0.224;1;0;0;0;0
0.263;0.197;0.243;0.266;0.097;0.224;1;0;0;0;0
0.227;0.197;0.210;0.266;0.100;0.260;1;0;0;0;0
0.227;0.470;0.210;0.242;0.100;0.260;1;0;0;0;0
0.227;0.470;0.210;0.242;0.100;0.260;1;0;0;0;0
0.219;0.498;0.187;0.237;0.098;0.271;0;0;0;1;0
0.219;0.498;0.187;0.237;0.098;0.271;0;0;0;1;0
0.219;0.498;0.187;0.237;0.098;0.271;0;0;0;1;0
0.219;0.498;0.187;0.237;0.098;0.271;0;0;0;1;0
0.224;0.426;0.187;0.233;0.099;0.271;0;0;0;1;0
0.224;0.426;0.187;0.233;0.099;0.271;0;0;0;1;0
0.224;0.426;0.187;0.233;0.099;0.271;0;0;0;1;0
0.224;0.426;0.187;0.233;0.099;0.271;0;0;0;1;0
0.224;0.426;0.187;0.233;0.101;0.276;0;0;0;1;0
0.247;0.202;0.187;0.218;0.101;0.276;0;0;0;1;0
0.247;0.202;0.194;0.218;0.101;0.276;0;0;0;1;0
0.277;0.202;0.194;0.218;0.101;0.288;0;0;0;1;0
0.277;0.120;0.194;0.207;0.101;0.288;0;0;0;1;0
0.277;0.120;0.200;0.207;0.101;0.288;0;0;0;1;0
0.277;0.120;0.200;0.207;0.101;0.288;1;0;0;0;0
0.277;0.120;0.200;0.207;0.101;0.288;1;0;0;0;0
0.324;0.120;0.200;0.207;0.105;0.293;1;0;0;0;0
0.324;0.134;0.208;0.197;0.105;0.293;1;0;0;0;0
0.324;0.134;0.208;0.197;0.105;0.293;1;0;0;0;0
0.345;0.134;0.208;0.197;0.106;0.287;1;0;0;0;0
0.347;0.141;0.209;0.196;0.106;0.288;0;1;0;0;0
0.347;0.141;0.209;0.196;0.106;0.288;0;1;0;0;0
0.347;0.141;0.209;0.196;0.106;0.288;0;1;0;0;0
0.344;0.137;0.209;0.196;0.105;0.287;0;1;0;0;0
0.344;0.137;0.203;0.193;0.105;0.287;0;1;0;0;0
0.344;0.137;0.203;0.193;0.105;0.287;0;1;0;0;0
0.344;0.137;0.203;0.193;0.105;0.287;0;1;0;0;0
0.310;0.137;0.203;0.193;0.115;0.306;0;1;0;0;0
0.310;0.139;0.203;0.165;0.115;0.306;0;1;0;0;0
0.310;0.139;0.174;0.165;0.115;0.306;0;1;0;0;0
0.310;0.139;0.174;0.165;0.115;0.306;1;0;0;0;0
0.310;0.139;0.174;0.165;0.115;0.306;1;0;0;0;0
0.254;0.139;0.174;0.165;0.129;0.338;1;0;0;0;0
0.254;0.212;0.174;0.132;0.129;0.338;1;0;0;0;0
0.254;0.212;0.140;0.132;0.129;0.338;1;0;0;0;0
0.254;0.212;0.140;0.132;0.129;0.338;1;0;0;0;0
0.229;0.235;0.132;0.127;0.141;0.354;0;0;0;1;0
0.229;0.234;0.132;0.127;0.141;0.354;0;0;0;1;0
0.229;0.234;0.133;0.126;0.141;0.354;0;0;0;1;0
0.229;0.234;0.133;0.126;0.141;0.354;0;0;0;1;0
0.236;0.234;0.133;0.126;0.142;0.345;0;0;0;1;0
0.236;0.220;0.134;0.123;0.142;0.345;0;0;0;1;0
0.236;0.220;0.134;0.123;0.142;0.345;0;0;0;1;0
0.236;0.220;0.134;0.123;0.142;0.345;0;0;0;1;0
0.236;0.220;0.134;0.123;0.148;0.345;0;0;0;1;0
0.272;0.200;0.139;0.116;0.148;0.289;0;0;0;1;0
0.272;0.200;0.139;0.116;0.148;0.289;0;0;0;1;0
0.272;0.200;0.139;0.116;0.158;0.289;0;0;0;1;0
0.345;0.185;0.142;0.112;0.158;0.234;0;0;0;1;0
0.345;0.185;0.142;0.112;0.158;0.234;0;0;0;1;0
0.345;0.185;0.142;0.112;0.174;0.234;0;0;0;1;0
0.491;0.170;0.149;0.107;0.174;0.196;0;0;0;1;0
0.491;0.170;0.149;0.107;0.174;0.196;0;0;0;1;0
0.491;0.170;0.149;0.107;0.174;0.196;0;0;0;1;0
0.545;0.170;0.149;0.107;0.193;0.166;0;0;0;1;0
0.545;0.170;0.149;0.107;0.193;0.166;0;0;0;1;0
0.545;0.165;0.160;0.104;0.193;0.166;0;0;0;1;0
0.545;0.165;0.160;0.104;0.191;0.166;0;0;0;1;0
0.533;0.165;0.174;0.104;0.191;0.141;0;0;0;1;0
0.533;0.181;0.174;0.103;0.191;0.141;0;0;0;1;0
0.533;0.181;0.174;0.103;0.191;0.141;0;0;0;1;0
0.533;0.181;0.174;0.103;0.165;0.141;0;0;0;1;0
0.524;0.232;0.194;0.102;0.165;0.124;0;0;0;1;0
0.524;0.232;0.194;0.102;0.165;0.124;0;0;0;1;0
0.524;0.232;0.194;0.102;0.165;0.124;0;0;0;1;0
0.516;0.232;0.194;0.102;0.142;0.124;0;0;0;1;0
0.516;0.232;0.194;0.102;0.142;0.113;0;0;0;1;0
0.516;0.371;0.222;0.105;0.142;0.113;0;0;0;1;0
0.516;0.371;0.222;0.105;0.142;0.113;0;0;0;1;0
0.516;0.371;0.222;0.105;0.122;0.113;0;0;0;1;0
0.509;0.371;0.285;0.105;0.122;0.105;0;0;0;1;0
0.509;0.497;0.285;0.109;0.122;0.105;0;0;0;1;0
0.509;0.497;0.285;0.109;0.122;0.105;0;0;0;1;0
0.509;0.497;0.285;0.109;0.101;0.105;0;0;0;1;0
0.511;0.497;0.472;0.109;0.101;0.100;1;0;0;0;0
0.511;0.498;0.472;0.116;0.101;0.100;1;0;0;0;0
0.520;0.493;0.538;0.119;0.088;0.098;1;0;0;0;0
0.520;0.493;0.538;0.119;0.088;0.098;1;0;0;0;0
0.521;0.494;0.532;0.120;0.089;0.098;0;1;0;0;0
0.519;0.494;0.534;0.120;0.089;0.098;0;1;0;0;0
0.519;0.493;0.534;0.119;0.089;0.098;0;1;0;0;0
0.519;0.493;0.534;0.119;0.085;0.098;0;1;0;0;0
0.510;0.493;0.534;0.119;0.085;0.098;0;1;0;0;0
0.510;0.487;0.524;0.108;0.085;0.115;1;0;0;0;0
0.510;0.487;0.524;0.108;0.085;0.115;1;0;0;0;0
0.464;0.215;0.490;0.093;0.068;0.160;1;0;0;0;0
0.464;0.215;0.490;0.093;0.068;0.160;1;0;0;0;0
0.465;0.215;0.481;0.092;0.069;0.160;0;0;0;1;0
0.465;0.214;0.481;0.092;0.069;0.160;0;0;0;1;0
0.465;0.214;0.481;0.092;0.070;0.160;0;0;0;1;0
0.466;0.214;0.492;0.092;0.070;0.158;0;0;0;1;0
0.466;0.240;0.492;0.098;0.066;0.158;0;0;0;1;0
0.466;0.240;0.492;0.098;0.066;0.158;0;0;0;1;0
0.472;0.240;0.492;0.098;0.066;0.158;0;0;0;1;0
0.472;0.340;0.479;0.098;0.066;0.156;0;0;0;1;0
0.472;0.340;0.479;0.107;0.066;0.156;0;0;0;1;0
0.472;0.340;0.479;0.107;0.059;0.156;0;0;0;1;0
0.472;0.340;0.479;0.107;0.059;0.156;0;0;0;1;0
0.475;0.340;0.479;0.107;0.059;0.156;0;0;0;1;0
0.475;0.340;0.462;0.107;0.059;0.155;0;0;0;1;0
0.475;0.471;0.462;0.120;0.059;0.155;0;0;0;1;0
0.475;0.471;0.462;0.120;0.053;0.155;0;0;0;1;0
0.475;0.471;0.462;0.120;0.053;0.155;0;0;0;1;0
0.475;0.471;0.462;0.120;0.053;0.155;0;0;0;1;0
0.462;0.501;0.455;0.120;0.053;0.157;0;0;0;1;0
0.462;0.501;0.455;0.138;0.053;0.157;0;0;0;1;0
0.462;0.501;0.455;0.138;0.053;0.157;0;0;0;1;0
0.422;0.501;0.449;0.138;0.053;0.157;1;0;0;0;0
0.422;0.501;0.449;0.138;0.053;0.163;1;0;0;0;0
0.357;0.508;0.442;0.187;0.045;0.163;1;0;0;0;0
0.357;0.510;0.442;0.221;0.045;0.167;1;0;0;0;0
0.352;0.511;0.446;0.220;0.048;0.167;0;1;0;0;0
0.352;0.511;0.446;0.220;0.048;0.167;0;1;0;0;0
0.349;0.511;0.448;0.220;0.048;0.167;0;1;0;0;0
0.349;0.511;0.448;0.233;0.049;0.167;0;1;0;0;0
0.349;0.511;0.448;0.233;0.049;0.167;0;1;0;0;0
0.355;0.511;0.433;0.233;0.049;0.167;1;0;0;0;0
0.355;0.511;0.433;0.233;0.049;0.189;1;0;0;0;0
0.359;0.503;0.408;0.418;0.050;0.189;0;1;0;0;0
0.359;0.379;0.408;0.448;0.052;0.214;0;1;0;0;0
0.359;0.379;0.408;0.448;0.052;0.214;0;1;0;0;0
0.358;0.379;0.399;0.448;0.052;0.214;0;1;0;0;0
0.358;0.379;0.399;0.448;0.052;0.224;0;1;0;0;0
0.358;0.266;0.399;0.448;0.052;0.224;0;1;0;0;0
0.358;0.266;0.399;0.446;0.049;0.224;0;1;0;0;0
0.359;0.266;0.377;0.446;0.049;0.224;0;1;0;0;0
0.359;0.176;0.377;0.414;0.052;0.255;0;1;0;0;0
0.359;0.176;0.377;0.414;0.052;0.255;0;1;0;0;0
0.351;0.176;0.346;0.414;0.052;0.255;0;1;0;0;0
0.351;0.171;0.346;0.378;0.055;0.292;1;0;0;0;0
0.351;0.171;0.346;0.378;0.055;0.292;1;0;0;0;0
0.337;0.171;0.314;0.378;0.055;0.292;0;1;0;0;0
0.337;0.169;0.314;0.348;0.057;0.326;0;1;0;0;0
0.337;0.169;0.314;0.348;0.057;0.326;0;1;0;0;0
0.326;0.169;0.290;0.348;0.057;0.326;0;1;0;0;0
0.326;0.169;0.290;0.348;0.057;0.347;1;0;0;0;0
0.326;0.169;0.290;0.324;0.059;0.347;1;0;0;0;0
0.306;0.169;0.264;0.324;0.059;0.347;1;0;0;0;0
0.306;0.167;0.264;0.324;0.059;0.378;1;0;0;0;0
0.292;0.166;0.245;0.295;0.058;0.385;0;0;0;0;1
0.292;0.166;0.245;0.295;0.058;0.385;0;0;0;0;1
0.292;0.169;0.245;0.297;0.057;0.385;0;0;0;0;1
0.288;0.169;0.245;0.297;0.057;0.385;1;0;0;0;0
0.288;0.169;0.245;0.297;0.057;0.385;1;0;0;0;0
0.288;0.166;0.245;0.311;0.061;0.383;1;0;0;0;0
0.288;0.166;0.242;0.311;0.061;0.383;0;0;0;0;1
0.271;0.166;0.242;0.311;0.061;0.383;0;0;0;0;1
0.271;0.166;0.242;0.311;0.061;0.383;0;0;0;0;1
0.271;0.166;0.242;0.311;0.061;0.383;0;0;0;0;1
0.271;0.165;0.242;0.316;0.063;0.383;0;0;0;0;1
0.271;0.165;0.243;0.316;0.063;0.383;0;0;0;0;1
0.267;0.165;0.243;0.316;0.063;0.383;0;0;0;0;1
0.267;0.165;0.243;0.316;0.063;0.383;0;0;0;0;1
0.267;0.164;0.243;0.327;0.065;0.387;0;0;0;0;1
0.253;0.164;0.241;0.327;0.065;0.387;0;0;0;0;1
0.253;0.164;0.241;0.327;0.065;0.387;0;0;0;0;1
0.253;0.164;0.241;0.327;0.065;0.387;0;0;0;0;1
0.253;0.160;0.241;0.338;0.068;0.397;0;0;0;0;1
0.253;0.160;0.239;0.338;0.068;0.397;0;0;0;0;1
0.237;0.160;0.239;0.338;0.068;0.397;0;0;0;0;1
0.237;0.160;0.239;0.338;0.068;0.397;0;0;0;0;1
0.237;0.159;0.241;0.360;0.072;0.412;0;0;0;0;1
0.226;0.159;0.241;0.360;0.072;0.412;0;0;0;0;1
0.226;0.159;0.241;0.360;0.072;0.412;0;0;0;0;1
0.226;0.159;0.241;0.360;0.072;0.412;0;0;0;0;1
0.226;0.161;0.241;0.360;0.075;0.427;0;0;0;0;1
0.226;0.161;0.244;0.389;0.075;0.427;0;0;0;0;1
0.218;0.161;0.244;0.389;0.075;0.427;0;0;0;0;1
0.218;0.161;0.244;0.389;0.075;0.427;0;0;0;0;1
0.218;0.161;0.244;0.389;0.075;0.427;0;0;0;0;1
0.218;0.163;0.244;0.443;0.082;0.438;0;0;0;0;1
0.218;0.163;0.256;0.443;0.082;0.438;0;0;0;0;1
0.214;0.163;0.256;0.443;0.082;0.438;0;0;0;0;1
0.214;0.163;0.256;0.443;0.082;0.438;0;0;0;0;1
0.214;0.166;0.268;0.467;0.094;0.453;1;0;0;0;0
0.215;0.166;0.268;0.467;0.094;0.453;1;0;0;0;0
0.215;0.166;0.268;0.467;0.094;0.453;1;0;0;0;0
0.217;0.168;0.280;0.473;0.108;0.474;0;1;0;0;0
0.217;0.168;0.281;0.473;0.108;0.474;0;1;0;0;0
0.217;0.168;0.281;0.473;0.108;0.474;0;1;0;0;0
0.217;0.168;0.281;0.473;0.108;0.474;0;1;0;0;0
0.217;0.168;0.281;0.473;0.108;0.474;0;1;0;0;0
0.217;0.170;0.277;0.467;0.105;0.474;0;1;0;0;0
0.210;0.170;0.277;0.467;0.105;0.474;0;1;0;0;0
0.210;0.170;0.277;0.467;0.105;0.474;0;1;0;0;0
0.210;0.170;0.277;0.467;0.105;0.474;0;1;0;0;0
0.210;0.170;0.277;0.467;0.105;0.474;0;1;0;0;0
0.210;0.185;0.253;0.451;0.091;0.502;1;0;0;0;0
0.183;0.185;0.253;0.451;0.091;0.502;1;0;0;0;0
0.183;0.185;0.253;0.451;0.091;0.502;1;0;0;0;0
0.156;0.206;0.219;0.424;0.073;0.531;0;1;0;0;0
0.156;0.206;0.219;0.424;0.073;0.531;0;1;0;0;0
0.156;0.206;0.219;0.424;0.073;0.531;0;1;0;0;0
0.156;0.206;0.219;0.424;0.073;0.531;0;1;0;0;0
0.156;0.212;0.213;0.416;0.067;0.539;0;1;0;0;0
0.150;0.212;0.213;0.416;0.067;0.539;1;0;0;0;0
0.150;0.212;0.213;0.416;0.067;0.539;1;0;0;0;0
0.150;0.212;0.213;0.416;0.067;0.539;1;0;0;0;0
0.150;0.226;0.189;0.396;0.139;0.556;1;0;0;0;0
0.126;0.226;0.189;0.396;0.139;0.556;1;0;0;0;0
0.122;0.235;0.175;0.387;0.391;0.570;0;0;0;0;1
0.122;0.235;0.175;0.387;0.391;0.570;0;0;0;0;1
0.122;0.235;0.175;0.387;0.391;0.570;0;0;0;0;1
0.122;0.235;0.175;0.387;0.391;0.570;0;0;0;0;1
0.123;0.235;0.178;0.385;0.373;0.571;0;0;0;0;1
0.123;0.235;0.178;0.385;0.373;0.571;0;0;0;0;1
0.123;0.235;0.178;0.385;0.373;0.571;0;0;0;0;1
0.123;0.235;0.178;0.385;0.373;0.571;0;0;0;0;1
0.123;0.255;0.191;0.391;0.114;0.503;0;0;0;0;1
0.125;0.255;0.191;0.391;0.114;0.503;0;0;0;0;1
0.125;0.255;0.191;0.391;0.114;0.503;0;0;0;0;1
0.125;0.255;0.191;0.391;0.114;0.503;0;0;0;0;1
0.125;0.274;0.212;0.382;0.070;0.258;0;0;0;0;1
0.126;0.274;0.212;0.382;0.070;0.258;0;0;0;0;1
0.126;0.274;0.212;0.382;0.070;0.258;0;0;0;0;1
0.126;0.274;0.212;0.382;0.070;0.258;0;0;0;0;1
0.126;0.274;0.212;0.382;0.070;0.258;0;0;0;0;1
0.126;0.265;0.239;0.365;0.086;0.211;0;0;0;0;1
0.130;0.265;0.239;0.365;0.086;0.211;0;0;0;0;1
0.130;0.265;0.239;0.365;0.116;0.211;0;0;0;0;1
0.130;0.230;0.289;0.361;0.116;0.181;0;0;0;0;1
0.142;0.230;0.289;0.361;0.116;0.181;0;0;0;0;1
0.142;0.230;0.289;0.361;0.116;0.181;0;0;0;0;1
0.142;0.230;0.289;0.361;0.116;0.181;1;0;0;0;0
0.142;0.230;0.289;0.361;0.116;0.181;1;0;0;0;0
